Report Date,HE (Peak),Total Expected Internal Supply (MW),"Import Capacity from BC,SK and MATL (MW)",AIL Load + Operating Reserves (MW),Surplus (MW)
2021-05-17,17,11750,1053,10679,2124
2021-05-18,17,12289,1053,10357,2985
2021-05-19,17,12593,1053,10270,3376
2021-05-20,12,12464,1053,10317,3200
2021-05-21,12,12464,1053,10323,3194
2021-05-22,12,11904,1053,9799,3158
2021-05-23,18,12038,1053,9791,3300
2021-05-24,18,12439,1053,10168,3324
2021-05-25,17,12439,1053,10451,3041
2021-05-26,17,12353,1053,10474,2932
2021-05-27,17,12119,1053,10501,2671
2021-05-28,14,12119,1053,10444,2728
2021-05-29,18,12585,1053,9992,3646
2021-05-30,18,12480,1053,9737,3796
2021-05-31,17,12683,900,10228,3355
2021-06-01,17,12889,900,10226,3563
2021-06-02,17,12889,900,10227,3562
2021-06-03,17,12687,900,10229,3358
2021-06-04,17,12737,900,10185,3452
2021-06-05,18,12785,900,9778,3907
2021-06-06,18,12665,900,9797,3768
2021-06-07,17,12711,900,10283,3328
2021-06-08,17,12236,900,10255,2881
2021-06-09,17,12249,900,10257,2892
2021-06-10,17,12361,900,10289,2972
2021-06-11,14,12310,900,10200,3010
2021-06-12,18,12308,1053,9810,3551
2021-06-13,18,12359,1053,9895,3517
2021-06-14,17,12416,1053,10350,3119
2021-06-15,17,12416,1053,10326,3143
2021-06-16,17,12368,1053,10321,3100
2021-06-17,17,12368,1053,10328,3093
2021-06-18,14,12664,1053,10250,3467
2021-06-19,18,12511,1053,9850,3714
2021-06-20,18,12684,1053,9928,3809
2021-06-21,17,12875,1053,10476,3452
2021-06-22,17,12917,1053,10424,3546
2021-06-23,17,13018,1053,10402,3669
2021-06-24,17,13028,1053,10407,3674
2021-06-25,17,12927,1053,10329,3651
2021-06-26,18,12927,1053,9951,4029
2021-06-27,18,13028,1053,10039,4042
2021-06-28,17,13133,1053,10563,3623
2021-06-29,17,13193,1053,10525,3721
2021-06-30,17,13193,1053,10527,3719
2021-07-01,17,13213,1053,10202,4064
2021-07-02,17,13213,1053,10475,3791
2021-07-03,18,13273,1053,10079,4247
2021-07-04,18,13324,1053,10189,4188
2021-07-05,17,13324,1018,10680,3662
2021-07-06,17,13324,1018,10624,3718
2021-07-07,17,13282,1018,10644,3656
2021-07-08,17,13324,1018,10694,3648
2021-07-09,17,13324,1018,10633,3709
2021-07-10,17,13324,1053,10230,4147
2021-07-11,18,13324,1053,10286,4091
2021-07-12,17,13324,998,10825,3497
2021-07-13,17,13324,998,10790,3532
2021-07-14,17,13276,998,10762,3512
2021-07-15,17,13276,998,10784,3490
2021-07-16,17,13276,998,10689,3585
2021-07-17,17,13249,1053,10268,4034
2021-07-18,18,13249,1053,10325,3977
2021-07-19,17,13249,1103,10823,3529
2021-07-20,17,13249,1103,10819,3533
2021-07-21,17,13297,1103,10857,3543
2021-07-22,17,13249,1103,10870,3482
2021-07-23,17,13249,1103,10787,3565
2021-07-24,17,13249,1053,10332,3970
2021-07-25,18,13249,1053,10387,3915
2021-07-26,17,13249,1103,10915,3437
2021-07-27,17,13249,1103,10889,3463
2021-07-28,17,13249,1103,10888,3464
2021-07-29,17,13297,1103,10874,3526
2021-07-30,17,13297,1103,10794,3606
2021-07-31,17,13297,1053,10355,3995
2021-08-01,18,13297,1053,10358,3992
2021-08-02,17,13297,1053,10511,3839
2021-08-03,17,13349,1103,10810,3642
2021-08-04,17,13207,1103,10842,3468
2021-08-05,17,13207,1103,10878,3432
2021-08-06,17,13207,1103,10784,3526
2021-08-07,17,13207,1053,10338,3922
2021-08-08,18,13207,1053,10324,3936
2021-08-09,17,13122,1103,10876,3349
2021-08-10,17,12816,1103,10807,3112
2021-08-11,17,12816,1103,10778,3141
2021-08-12,17,12762,1103,10801,3064
2021-08-13,17,12627,1053,10699,2981
2021-08-14,17,12722,1053,10304,3471
2021-08-15,18,12749,1053,10303,3499
2021-08-16,17,12749,1103,10818,3034
2021-08-17,17,12749,1103,10778,3074
2021-08-18,17,12749,1103,10797,3055
2021-08-19,17,12749,1103,10762,3090
2021-08-20,17,12749,1053,10688,3114
2021-08-21,17,12749,1053,10262,3540
2021-08-22,18,12749,1053,10282,3520
2021-08-23,17,12884,1103,10777,3210
2021-08-24,17,13190,1053,10697,3546
2021-08-25,17,13130,1053,10688,3495
2021-08-26,17,13250,1053,10680,3623
2021-08-27,17,13197,1053,10616,3634
2021-08-28,17,13197,1053,10188,4062
2021-08-29,18,13197,1053,10188,4062
2021-08-30,17,13197,1053,10642,3608
2021-08-31,17,13094,1053,10583,3564
2021-09-01,17,12902,1053,10552,3403
2021-09-02,17,12987,1053,10553,3487
2021-09-03,17,13090,1053,10462,3681
2021-09-04,17,13090,1053,10021,4122
2021-09-05,18,12944,1053,10033,3964
2021-09-06,17,13038,1053,10186,3905
2021-09-07,17,12744,1053,10449,3348
2021-09-08,17,12744,1053,10434,3363
2021-09-09,17,12794,1053,10434,3413
2021-09-10,17,12599,1053,10338,3314
2021-09-11,17,12087,1053,9934,3206
2021-09-12,21,12186,1053,10018,3221
2021-09-13,17,12010,1053,10439,2624
2021-09-14,17,11880,1053,10421,2512
2021-09-15,17,11880,1053,10426,2507
2021-09-16,17,12087,1053,10425,2715
2021-09-17,17,12094,1053,10308,2839
2021-09-18,17,12290,1053,9924,3419
2021-09-19,21,12290,732,10031,2991
2021-09-20,17,12173,732,10444,2461
2021-09-21,17,12106,732,10412,2426
2021-09-22,17,12151,732,10441,2442
2021-09-23,17,12151,732,10461,2422
2021-09-24,17,12266,732,10382,2616
2021-09-25,17,12383,732,10005,3110
2021-09-26,20,12484,1053,10093,3444
2021-09-27,17,12484,1053,10507,3030
2021-09-28,17,12285,1053,10481,2857
2021-09-29,17,12285,1053,10495,2843
2021-09-30,17,12340,1053,10501,2892
2021-10-01,17,12437,1053,10414,3076
2021-10-02,20,11980,1053,10134,2899
2021-10-03,20,12034,1053,10252,2835
2021-10-04,17,11874,1053,10570,2357
