province,source,desc,year,Interprovincial In-Flows,Interprovincial Out-Flows,Net Interprovincial Out-Flows,Exports,Net Exports,Imports
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2005,"1,740.06","1,198.17",-541.89,85.69,-366.04,451.73
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2006,"2,025.42",793.81,"-1,231.61",67.41,-141.92,209.33
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2007,"1,781.50","1,218.13",-563.37,154.75,-68.15,222.9
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2008,"2,298.93",527.37,"-1,771.56",227.85,-533.5,761.35
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2009,"4,449.73",602.3,"-3,847.43",262.33,-399.64,661.97
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2010,"5,024.25",513.29,"-4,510.96",255.54,-208.45,463.99
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2011,"9,094.89",268.44,"-8,826.45",128.4,-862.54,990.94
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2012,"6,585.95",300.18,"-6,285.77",41.58,-810.23,851.81
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2013,"4,398.96",558.46,"-3,840.50",5.17,-377.04,382.21
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2014,"1,368.56",541.43,-827.13,54.27,-487.16,541.43
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2015,"1,056.76",736.54,-320.22,292,-210,502
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2016,"1,298.57",35.66,"-1,262.91",220.98,"-3,464.71","3,596.11"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2017,"1,286.29",128.62,"-1,157.67",621.7,246.77,126.41
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2018,"2,274.67",599.18,"-1,675.49",335.73,"1,271.50","1,607.23"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2019,"1,799.02",144.19,"-1,654.83",273.34,-873.7,"1,147.05"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2020,"2,717.75",164.27,"-2,553.48",10.54,"-1,277.26","1,287.80"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2021,"3,237.12",144.72,"-3,092.40",0,"-1,343.46","1,343.46"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2022,"3,293.97",55.12,"-3,238.85",0,"-1,356.31","1,356.31"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2023,"3,374.04",78.84,"-3,295.20",0,"-1,691.12","1,691.12"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2024,"3,374.04",78.84,"-3,295.20",0,"-1,691.12","1,691.12"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2025,"3,374.04",31.54,"-3,342.50",0,"-1,691.12","1,691.12"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2026,"3,354.15",31.54,"-3,322.61",0,"-1,691.12","1,691.12"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2027,"3,270.36",55.25,"-3,215.10",0,"-1,691.12","1,691.12"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2028,"3,238.46",55.25,"-3,183.21",0,"-1,691.12","1,691.12"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2029,"1,970.81",191.21,"-1,779.60",0,"-1,527.13","1,527.13"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2030,"1,896.01",265.76,"-1,630.25",0,"-1,468.31","1,468.31"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2031,"1,889.23",393.51,"-1,495.72",17.57,"-1,277.18","1,294.75"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2032,"1,771.28",944.43,-826.86,45.58,"-1,174.26","1,219.84"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2033,"1,445.49","1,044.45",-401.04,46.5,"-1,171.66","1,218.16"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2034,"1,446.11","1,069.93",-376.18,56.06,"-1,162.10","1,218.16"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2035,"1,404.90","1,130.65",-274.25,56.06,"-1,162.10","1,218.16"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2036,"1,342.65","1,185.30",-157.35,56.06,"-1,162.10","1,218.16"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2037,"1,342.65","1,256.50",-86.15,98,"-1,018.20","1,116.19"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2038,"1,342.65","1,331.85",-10.8,98,"-1,019.85","1,117.84"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2039,"1,406.36","1,506.90",100.53,98,-916.67,"1,014.67"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2040,"1,406.36","1,554.70",148.34,98,-916.67,"1,014.67"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2041,"1,406.36","1,592.33",185.96,98,-916.67,"1,014.67"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2042,"1,411.10","1,574.84",163.74,79.56,-935.11,"1,014.67"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2043,"1,432.91","1,705.81",272.9,56.06,-958.61,"1,014.67"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2044,"1,433.13","1,768.91",335.79,56.06,-958.61,"1,014.67"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2045,"1,439.90","1,534.04",94.14,33.35,"-1,184.81","1,218.16"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2046,"1,448.74","1,605.68",156.94,28.11,"-1,190.05","1,218.16"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2047,"1,455.52","1,516.69",61.17,56.06,"-1,162.10","1,218.16"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2048,"1,455.52","1,738.68",283.16,56.06,"-1,162.10","1,218.16"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2049,"1,518.90","1,720.14",201.24,56.06,"-1,162.10","1,218.16"
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Interchange_GWh,2050,"1,342.65","1,700.85",358.21,38.5,"-1,179.67","1,218.16"
