province,source,desc,year,Hydro,Wind,Biomass_Geothermal,Solar,Uranium,Coal,natural_gas,oil
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2005,2316,741,1725.17,0,0,43581.07,19568.76,509.44
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2006,1966,921,1855.17,0,0,44117.04,22063.15,860.08
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2007,2113,1430,1870.36,0,0,43868.23,22337.97,922.06
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2008,2150,1473,1917.39,0,0,42131.1,23347.1,635.87
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2009,1695,1558,1861.5,0,0,40805,26233.32,14.15
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2010,1620,1629,1908.78,0,0,37566.91,27594.87,26.51
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2011,2036,2372,1972.19,0,0,38509.52,28106.9,25.4
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2012,2319,2601,2089.12,3.44,0,38070.06,29938.05,28.93
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2013,2028,3058,2250.1,7.04,0,38933.51,31739.48,27
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2014,1821.38,3518.87,3497.7,7.04,0,43727.18,31585.45,78.41
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2015,1977.46,4089.32,1709.75,7.04,0,40158.82,33746.21,82.74
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2016,1971.08,4586.39,1762.5,7.04,0,41502.25,33877.83,51.91
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2017,1937,4634.08,1582.34,33.85,0,38660.01,36983.61,101.14
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2018,1991.1,4119,1428.1,57.5,0,35043.82,40578.55,116.42
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2019,1991.1,4118.99,1428.1,57.5,0,36325.7,42127.11,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2020,1991.09,4787.82,1718.2,57.5,0,26542.96,46305.33,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2021,1991.11,4787.82,1753.25,372.86,0,20089.5,57572.02,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2022,1991.12,7872.11,1753.26,1003.58,0,12411.97,63777.01,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2023,1991.09,8057.24,2191.22,1003.58,0,9647.08,67439.85,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2024,1991.14,8057.25,2191.21,1003.58,0,10370.82,69102.7,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2025,1991.16,8265.98,2191.25,1003.58,0,11062.66,69491.45,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2026,1991.06,8490.44,2208.78,1003.58,0,12660.24,69032.61,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2027,1991.12,10304.2,2208.77,1112.8,0,11062.77,70203.26,107.28
